Word,Min_L_Dist
pete,0
peke,0
pipe,0
pipi,0
pike,0
piki,0
pine,0
pise,0
pize,0
bete,0
bede,0
bene,0
beni,0
beme,0
bibi,0
bite,0
biti,0
bide,0
bidi,0
bike,0
bine,0
bini,0
bise,0
bize,0
tepe,0
tete,0
tipe,0
tipi,0
tite,0
titi,0
tide,0
tidi,0
tige,0
tike,0
tiki,0
tine,0
time,0
depe,0
debe,0
debi,0
deti,0
deke,0
dene,0
deme,0
demi,0
desi,0
dite,0
dike,0
dine,0
dime,0
gene,0
gibe,0
gite,0
gigi,0
gise,0
kepi,0
kipe,0
kibe,0
kite,0
kike,0
kiki,0
kine,0
nete,0
neti,0
nene,0
nese,0
nide,0
nidi,0
nike,0
nine,0
nisi,0
mete,0
mede,0
mene,0
mese,0
mite,0
mide,0
midi,0
mike,0
miki,0
mine,0
mini,0
mime,0
mimi,0
mise,0
mize,0
seme,0
semi,0
sipe,0
site,0
siti,0
side,0
sidi,0
sike,0
sine,0
sime,0
sise,0
sisi,0
size,0
zeke,0
zeme,0
zemi,0
ziti,0
pogo,0
pomo,0
pudu,0
puku,0
puno,0
bobo,0
bodo,0
bogo,0
boko,0
bono,0
bozo,0
bubo,0
topo,0
toto,0
togo,0
toko,0
tutu,0
tuno,0
tunu,0
doto,0
dodo,0
doko,0
gobo,0
goto,0
gogo,0
gugu,0
kobu,0
koto,0
koko,0
koku,0
koso,0
kozo,0
kudo,0
kudu,0
kuku,0
nosu,0
modo,0
mogo,0
moko,0
mono,0
momo,0
mozo,0
muso,0
muzo,0
soko,0
soso,0
suto,0
sutu,0
suku,0
sumo,0
susu,0
zobo,0
zogo,0
pepe,1
pepi,1
pebe,1
pebi,1
peti,1
pede,1
pedi,1
pege,1
pegi,1
peki,1
pene,1
peni,1
peme,1
pemi,1
pese,1
pesi,1
peze,1
pezi,1
pibe,1
pibi,1
pite,1
piti,1
pide,1
pidi,1
pige,1
pigi,1
pini,1
pime,1
pimi,1
pisi,1
pizi,1
bepe,1
bepi,1
bebe,1
bebi,1
beti,1
bedi,1
bege,1
begi,1
beke,1
beki,1
bemi,1
bese,1
besi,1
beze,1
bezi,1
bipe,1
bipi,1
bibe,1
bige,1
bigi,1
biki,1
bime,1
bimi,1
bisi,1
bizi,1
tepi,1
tebe,1
tebi,1
teti,1
tede,1
tedi,1
tege,1
tegi,1
teke,1
teki,1
tene,1
teni,1
teme,1
temi,1
tese,1
tesi,1
teze,1
tezi,1
tibe,1
tibi,1
tigi,1
tini,1
timi,1
tise,1
tisi,1
tize,1
tizi,1
depi,1
dete,1
dede,1
dedi,1
dege,1
degi,1
deki,1
deni,1
dese,1
