Word,Min_L_Dist,PND
pite,1,7
tise,1,8
dete,1,8
gine,1,8
bime,1,9
tize,1,9
gike,1,9
nite,1,9
mipe,1,9
pide,1,10
bipe,1,10
kide,1,10
kise,1,10
nise,1,10
sibe,1,10
boto,1,10
kogo,1,10
moto,1,10
pime,1,11
bibe,1,11
biki,1,11
tibe,1,11
dipe,1,11
dide,1,11
dise,1,11
kime,1,11
kize,1,11
meme,1,11
mibe,1,11
miti,1,11
sige,1,11
zike,1,11
dogo,1,11
goko,1,11
mobo,1,11
moso,1,11
pene,1,12
beke,1,12
tene,1,12
dese,1,12
dize,1,12
gide,1,12
meke,1,12
mige,1,12
siki,1,12
zite,1,12
zine,1,12
poko,1,12
bomo,1,12
boso,1,12
kobo,1,12
kodo,1,12
sogo,1,12
zoko,1,12
pibe,1,13
pidi,1,13
bese,1,13
bige,1,13
bisi,1,13
teme,1,13
tini,1,13
dede,1,13
dibe,1,13
gete,1,13
gipe,1,13
gime,1,13
gize,1,13
neke,1,13
neme,1,13
nipe,1,13
niti,1,13
niki,1,13
nime,1,13
nize,1,13
misi,1,13
sete,1,13
sene,1,13
zete,1,13
zene,1,13
bopo,1,13
tobo,1,13
todo,1,13
tono,1,13
tozo,1,13
mopo,1,13
soto,1,13
peme,1,14
piti,1,14
pige,1,14
bepe,1,14
bipi,1,14
teke,1,14
tigi,1,14
timi,1,14
tisi,1,14
depi,1,14
deni,1,14
diti,1,14
giti,1,14
gidi,1,14
kete,1,14
kene,1,14
kiti,1,14
kidi,1,14
kige,1,14
nede,1,14
mepe,1,14
mipi,1,14
sipi,1,14
sini,1,14
simi,1,14
zidi,1,14
poto,1,14
tomo,1,14
toso,1,14
dobo,1,14
dozo,1,14
godo,1,14
gozo,1,14
kono,1,14
komo,1,14
nogo,1,14
noko,1,14
zoto,1,14
pepe,1,15
pese,1,15
pini,1,15
pisi,1,15
bebe,1,15
beti,1,15
bemi,1,15
beze,1,15
bigi,1,15
bimi,1,15
bizi,1,15
tede,1,15
tibi,1,15
dege,1,15
deki,1,15
deze,1,15
didi,1,15
dige,1,15
diki,1,15
geme,1,15
gige,1,15
giki,1,15
kipi,1,15
nepe,1,15
nibe,1,15
nini,1,15
mebe,1,15
meze,1,15
mibi,1,15
migi,1,15
mizi,1,15
seke,1,15
zide,1,15
ziki,1,15
zime,1,15
zise,1,15
pobo,1,15
podo,1,15
pono,1,15
pozo,1,15
tuku,1,15
dono,1,15
domo,1,15
doso,1,15
gono,1,15
gomo,1,15
goso,1,15
kopo,1,15
muno,1,15
sobo,1,15
sodo,1,15
somo,1,15
sozo,1,15
sudu,1,15
suso,1,15
zodo,1,15
zozo,1,15
pede,1,16
bege,1,16
teti,1,16
tese,1,16
tizi,1,16
